Satellite,Time,Latitude,Longitude,Elevation
ISS (ZARYA),2023-04-22,-51.73378192282401,91.00459528749249,445994.2023681066
ISS (ZARYA),2023-04-23,51.26582744049858,-109.8917619717855,432447.92406728305
ISS (ZARYA),2023-04-24,-49.03546179373435,50.362092493787316,444504.23698361084
ISS (ZARYA),2023-04-25,45.3047437809934,-147.88150368051234,431189.58189578896
ISS (ZARYA),2023-04-26,-40.61811411301705,15.962048319977038,440519.0751389704
ISS (ZARYA),2023-04-27,35.04361140705003,-178.90356117631057,429210.5751196644
ISS (ZARYA),2023-04-28,-29.20875926852541,-12.215664369436219,435342.3594335197
ISS (ZARYA),2023-04-29,22.822659684621346,155.10660135839223,427547.87101306824
ISS (ZARYA),2023-04-30,-16.569239896536388,-36.607753452755276,430432.278411165
ISS (ZARYA),2023-05-01,9.930766123069658,131.854892886987,427096.04932212725
ISS (ZARYA),2023-05-02,-3.631621065328075,-59.117623193024635,426916.77381162834
ISS (ZARYA),2023-05-03,-2.9344142840474037,109.7912428234329,428274.1313787728
ISS (ZARYA),2023-05-04,9.054774529223355,-81.0179867678535,425314.2436606468
ISS (ZARYA),2023-05-05,-15.314753704656471,87.82455882072925,430926.88874087215
ISS (ZARYA),2023-05-06,21.071833288894453,-103.29830381788236,425508.3152317713
ISS (ZARYA),2023-05-07,-26.806018178597288,65.0051727487374,434444.3768121723
ISS (ZARYA),2023-05-08,31.98777601547802,-126.92276150251811,426924.2944322712
ISS (ZARYA),2023-05-09,-36.93149700049993,40.33210054937445,438006.62896764994
ISS (ZARYA),2023-05-10,41.2385806626789,-152.9393502914249,428797.8175805395
ISS (ZARYA),2023-05-11,-45.030557984989215,12.779698161656242,440841.3531271256
ISS (ZARYA),2023-05-12,48.038946592210365,177.77123963750134,430426.6123766961
ISS (ZARYA),2023-05-13,-50.23431770647758,-18.114688166180528,442411.81069193577
ISS (ZARYA),2023-05-14,51.49019727217121,145.4909499653084,431336.43933189055
ISS (ZARYA),2023-05-15,-51.77754132541218,-51.0250987341373,442500.6652776915
ISS (ZARYA),2023-05-16,51.12401911065116,112.64296057086185,431341.7956095307
ISS (ZARYA),2023-05-17,-49.649078201706445,-82.87654562637695,441197.2832370462
ISS (ZARYA),2023-05-18,47.428298661971624,82.28024198474964,430518.68236774113
ISS (ZARYA),2023-05-19,-44.72050114133877,-111.38675282600632,438819.30538506026
ISS (ZARYA),2023-05-20,41.49363823416674,55.606460420241035,429123.8794268826
ISS (ZARYA),2023-05-21,-38.090873592336386,-136.3422815050023,435805.2976219685
ISS (ZARYA),2023-05-22,34.32248005321277,32.14748059099978,427496.358241816
ISS (ZARYA),2023-05-23,-30.596163993853303,-158.54115769062238,432610.01881932054
ISS (ZARYA),2023-05-24,26.589062643371456,11.00134062006441,425968.45147919236
ISS (ZARYA),2023-05-25,-22.76404330246981,-178.83546893423792,429623.3267037077
ISS (ZARYA),2023-05-26,18.704269733897206,-8.588506458815516,424802.9712547451
ISS (ZARYA),2023-05-27,-14.914668725255096,162.13565825463752,427122.24735150737
ISS (ZARYA),2023-05-28,10.918522051207345,-27.155389287378995,424161.4725706288
ISS (ZARYA),2023-05-29,-7.247131771388222,143.9327593958962,425255.9361802466
ISS (ZARYA),2023-05-30,3.3905987813678014,-45.06214998586879,424100.4868816422
ISS (ZARYA),2023-05-31,0.10878917545909302,126.25578856673987,424056.62435106054
ISS (ZARYA),2023-06-01,-3.773611617703737,-62.55830924915537,424587.7140749283
ISS (ZARYA),2023-06-02,7.064173116654075,108.89589740073424,423466.6031445264
ISS (ZARYA),2023-06-03,-10.500040024784669,-79.81941066409638,425528.7360503729
ISS (ZARYA),2023-06-04,13.555451588794636,91.70466788140656,423371.3798981647
ISS (ZARYA),2023-06-05,-16.73494991748402,-96.97070077057802,426795.94222479634
ISS (ZARYA),2023-06-06,19.535937620796922,74.57640444758192,423631.2803273825
ISS (ZARYA),2023-06-07,-22.438749755839847,-114.0999980360356,428253.85556574696
ISS (ZARYA),2023-06-08,24.971374864171267,57.43919421380249,424106.7567433492
ISS (ZARYA),2023-06-09,-27.582970908058773,-131.26341499463624,429777.8269699383
ISS (ZARYA),2023-06-10,29.83801712289762,40.25172954689771,424675.5019488388
ISS (ZARYA),2023-06-11,-32.149336547592185,-148.48649801020503,431265.3889364371
ISS (ZARYA),2023-06-12,34.122448700542755,23.003639825405372,425241.59492713877
ISS (ZARYA),2023-06-13,-36.130278171169465,-165.76293446520168,432641.10257732944
ISS (ZARYA),2023-06-14,37.82257837771254,5.717195073643838,425738.1526783746
ISS (ZARYA),2023-06-15,-39.53031893089642,176.9469316113657,433856.49474355584
ISS (ZARYA),2023-06-16,40.9491829095178,-11.551941742156288,426125.4428013089
ISS (ZARYA),2023-06-17,-42.36760950064633,159.71540803837124,434886.8428999018
ISS (ZARYA),2023-06-18,43.52720762092435,-28.71717239853595,426386.3560753317
ISS (ZARYA),2023-06-19,-44.67475580863666,142.6426518293355,435726.3542982288
ISS (ZARYA),2023-06-20,45.59595029444897,-45.66802877084683,426520.7885801657
ISS (ZARYA),2023-06-21,-46.498124120143466,125.84719134059178,436382.90540800994
ISS (ZARYA),2023-06-22,47.20744704500608,-62.281478907493614,426540.0291822549
ISS (ZARYA),2023-06-23,-47.895178220986686,109.4532223116265,436873.1001263779
ISS (ZARYA),2023-06-24,48.42288955054381,-78.43513185678246,426461.81332535757
ISS (ZARYA),2023-06-25,-48.930019294041315,93.57773783466708,437218.0526034446
ISS (ZARYA),2023-06-26,49.30754278685163,-94.01899304147373,426306.3509656171
